Date,Month,Quarter,Year
2023-01-01,1,1,2023
2023-01-02,1,1,2023
2023-01-03,1,1,2023
2023-01-04,1,1,2023
2023-01-05,1,1,2023
2023-01-06,1,1,2023
2023-01-07,1,1,2023
2023-01-08,1,1,2023
2023-01-09,1,1,2023
2023-01-10,1,1,2023
2023-01-11,1,1,2023
2023-01-12,1,1,2023
2023-01-13,1,1,2023
2023-01-14,1,1,2023
2023-01-15,1,1,2023
2023-01-16,1,1,2023
2023-01-17,1,1,2023
2023-01-18,1,1,2023
2023-01-19,1,1,2023
2023-01-20,1,1,2023
2023-01-21,1,1,2023
2023-01-22,1,1,2023
2023-01-23,1,1,2023
2023-01-24,1,1,2023
2023-01-25,1,1,2023
2023-01-26,1,1,2023
2023-01-27,1,1,2023
2023-01-28,1,1,2023
2023-01-29,1,1,2023
2023-01-30,1,1,2023
2023-01-31,1,1,2023
2023-02-01,2,1,2023
2023-02-02,2,1,2023
2023-02-03,2,1,2023
2023-02-04,2,1,2023
2023-02-05,2,1,2023
2023-02-06,2,1,2023
2023-02-07,2,1,2023
2023-02-08,2,1,2023
2023-02-09,2,1,2023
2023-02-10,2,1,2023
2023-02-11,2,1,2023
2023-02-12,2,1,2023
2023-02-13,2,1,2023
2023-02-14,2,1,2023
2023-02-15,2,1,2023
2023-02-16,2,1,2023
2023-02-17,2,1,2023
2023-02-18,2,1,2023
2023-02-19,2,1,2023
2023-02-20,2,1,2023
2023-02-21,2,1,2023
2023-02-22,2,1,2023
2023-02-23,2,1,2023
2023-02-24,2,1,2023
2023-02-25,2,1,2023
2023-02-26,2,1,2023
2023-02-27,2,1,2023
2023-02-28,2,1,2023
2023-03-01,3,1,2023
2023-03-02,3,1,2023
2023-03-03,3,1,2023
2023-03-04,3,1,2023
2023-03-05,3,1,2023
2023-03-06,3,1,2023
2023-03-07,3,1,2023
2023-03-08,3,1,2023
2023-03-09,3,1,2023
2023-03-10,3,1,2023
2023-03-11,3,1,2023
2023-03-12,3,1,2023
2023-03-13,3,1,2023
2023-03-14,3,1,2023
2023-03-15,3,1,2023
2023-03-16,3,1,2023
2023-03-17,3,1,2023
2023-03-18,3,1,2023
2023-03-19,3,1,2023
2023-03-20,3,1,2023
2023-03-21,3,1,2023
2023-03-22,3,1,2023
2023-03-23,3,1,2023
2023-03-24,3,1,2023
2023-03-25,3,1,2023
2023-03-26,3,1,2023
2023-03-27,3,1,2023
2023-03-28,3,1,2023
2023-03-29,3,1,2023
2023-03-30,3,1,2023
2023-03-31,3,1,2023
2023-04-01,4,2,2023
2023-04-02,4,2,2023
2023-04-03,4,2,2023
2023-04-04,4,2,2023
2023-04-05,4,2,2023
2023-04-06,4,2,2023
2023-04-07,4,2,2023
2023-04-08,4,2,2023
2023-04-09,4,2,2023
2023-04-10,4,2,2023
2023-04-11,4,2,2023
2023-04-12,4,2,2023
2023-04-13,4,2,2023
2023-04-14,4,2,2023
2023-04-15,4,2,2023
2023-04-16,4,2,2023
2023-04-17,4,2,2023
2023-04-18,4,2,2023
2023-04-19,4,2,2023
2023-04-20,4,2,2023
2023-04-21,4,2,2023
2023-04-22,4,2,2023
2023-04-23,4,2,2023
2023-04-24,4,2,2023
2023-04-25,4,2,2023
2023-04-26,4,2,2023
2023-04-27,4,2,2023
2023-04-28,4,2,2023
2023-04-29,4,2,2023
2023-04-30,4,2,2023
2023-05-01,5,2,2023
2023-05-02,5,2,2023
2023-05-03,5,2,2023
2023-05-04,5,2,2023
2023-05-05,5,2,2023
2023-05-06,5,2,2023
2023-05-07,5,2,2023
2023-05-08,5,2,2023
2023-05-09,5,2,2023
2023-05-10,5,2,2023
2023-05-11,5,2,2023
2023-05-12,5,2,2023
2023-05-13,5,2,2023
2023-05-14,5,2,2023
2023-05-15,5,2,2023
2023-05-16,5,2,2023
2023-05-17,5,2,2023
2023-05-18,5,2,2023
2023-05-19,5,2,2023
2023-05-20,5,2,2023
2023-05-21,5,2,2023
2023-05-22,5,2,2023
2023-05-23,5,2,2023
2023-05-24,5,2,2023
2023-05-25,5,2,2023
2023-05-26,5,2,2023
2023-05-27,5,2,2023
2023-05-28,5,2,2023
2023-05-29,5,2,2023
2023-05-30,5,2,2023
2023-05-31,5,2,2023
2023-06-01,6,2,2023
2023-06-02,6,2,2023
2023-06-03,6,2,2023
2023-06-04,6,2,2023
2023-06-05,6,2,2023
2023-06-06,6,2,2023
2023-06-07,6,2,2023
2023-06-08,6,2,2023
2023-06-09,6,2,2023
2023-06-10,6,2,2023
2023-06-11,6,2,2023
2023-06-12,6,2,2023
2023-06-13,6,2,2023
2023-06-14,6,2,2023
2023-06-15,6,2,2023
2023-06-16,6,2,2023
2023-06-17,6,2,2023
2023-06-18,6,2,2023
2023-06-19,6,2,2023
2023-06-20,6,2,2023
2023-06-21,6,2,2023
2023-06-22,6,2,2023
2023-06-23,6,2,2023
2023-06-24,6,2,2023
2023-06-25,6,2,2023
2023-06-26,6,2,2023
2023-06-27,6,2,2023
2023-06-28,6,2,2023
2023-06-29,6,2,2023
2023-06-30,6,2,2023
